:START_ID(r),:END_ID(c)
025261835,da188f95-76fa-3b17-b788-b9e9eb039379
025261843,036c71ba-6729-35ba-af87-236aa1bc6475
025261843,bdbab4b9-11a8-32c9-8c2c-c8ec6333a748
025261894,61c39c95-c6e9-3620-ba44-131a70daa322
025261894,59362c57-417a-3a8b-8681-783facee3d0d
025261983,779a7482-f109-33d5-a8e0-d9af71775914
025261983,5c3d813b-3787-387d-b987-3c6ccd072799
025262033,2416a484-4dd3-3f7c-a942-cc945ba0a801
025262114,d09eb9af-2bba-3b32-ae0a-5674bd211eb2
025262114,3d5b3776-af70-3d5b-8513-41df0ac28259
025262130,39d8f1cd-8c9a-3300-8b19-2e30b1fbd00b
025262130,e0ce92fa-d4ab-357d-b2f5-b3e0779b745d
02526222X,f6c7adfe-6f0e-32a8-abda-269ef4609dde
025262300,82965f2b-9ca9-31a0-9051-242d56ad62d6
025262386,4ac1f33c-0d91-3913-a958-c6ff2d298689
025262386,c587c006-89dc-3f5f-84e5-a4b80814a6af
025262467,ea2a7eb9-fd57-3184-815a-e6ace9893e81
025262467,2afb98da-ace9-3f54-a634-a6ca32eab284
025262491,2e9c6037-7233-3267-b8a7-20c3a1cb123c
025262505,b10341cf-80a0-314c-b884-ebc0f6673c61
025262505,88f4eef9-2424-3474-a867-fcbcd18319ae
025262610,6a4d6d46-655f-3105-9729-9dc21421ffa2
025262610,f45cd4a4-ea0a-32a9-96ce-594075e677e9
025262645,987ab76f-1fcf-38dc-981b-97ebf5017653
025262661,1916f7ed-ae11-3a80-b1ce-441e35b567ce
025262718,60f70ad8-ed42-3561-856e-905c0f39b881
025262726,f2573195-3229-3667-a716-038df55f3f84
025262815,ff0a94f0-8e36-3ce2-847b-d8be4d6cdf17
025262882,67dfbb43-96ae-3828-a20e-5c06dc29f8bf
025262955,71a75ea5-6175-3966-9861-0bfdf99ef404
025262955,4f1e1184-99a5-3933-8a80-22e251f10b48
025263048,dc984322-b08a-3170-81a5-a0865d85a078
025263048,97b44258-52be-3205-97b3-009aeab17a7a
025263056,c2d42fc7-1081-3af1-b712-f1b66df8c107
025263110,cddc1faa-9e56-3998-bd23-d19eb9c64091
025263137,0dd720fa-f09d-3788-9653-b0056738bb85
025263196,4a14ba68-f807-3fcf-ab30-112a70b701c7
025263358,1ffc0209-edce-3346-8417-feee8571099f
025263412,1399aa0c-b8b1-335b-b701-8efe5d916ce9
025263412,cc5b1da1-eb8d-33bd-95cf-280d6688f1fb
025263439,8bc62dac-ce29-39c6-9b53-94fa8c8d5ec8
025263455,22f90c61-1347-355a-8edb-020363e970d6
025263463,3fd80811-a13e-34d2-9749-68cd99dec317
025263463,36763159-53a7-3d1b-bdbe-cdab7bd4246d
025263498,e7e86f43-e4f8-3dd4-9771-d96469952dd3
025263528,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
025263528,f7e8ea5d-992c-3de7-bc39-5f1d0bc0e6c3
025263552,a7a9421c-3698-38cd-840a-b3e4490a2a12
025263609,39a68245-7a52-3f1d-a113-5aff659af46a
025263609,f1a2b65f-61ba-3aed-9630-3e77c27fa177
025263609,5df2c88f-75b2-3523-b04a-c00749810257
025263625,19d6a347-a217-3c6f-ab15-66da468a858a
025263668,61d03eba-02c1-3744-b5ca-2d1b4315ef0f
025263668,e7abbaec-33e5-3688-a3a1-f355aab05744
025263749,67a370bd-865f-3e8c-b64a-eb7edee69107
025263757,d4e3f45d-0163-3de7-8eb2-a2b3540ae632
025263862,e936c2ed-21b9-3c96-be82-0a32c5b62034
025263862,cd0ae737-a8cd-3b32-828f-83545f57016e
025263900,0cf89966-baec-38ab-ae66-282efdfc17b3
025263900,a6f2cbc3-f08e-3289-b130-a0d939bcd50a
025263919,7e78b5d1-a78b-3072-86c6-9a0d88d1591a
025263927,0dd1c4e0-9ef4-338d-9f60-19c4b0dad91c
02526396X,e51d3794-02dd-374d-b904-3517f46ecc88
025263986,390d90ce-42da-3c85-aea6-bc84d507594b
025263986,173d8209-7a6a-3731-9875-a4e6ff93c856
025263994,d4b95057-2d74-3df4-910e-fbed6be2a228
025264036,0a691116-9ba3-38a3-a319-575d033d75ac
025264036,8521531e-d3bf-3c2f-a432-778413c6facd
025264044,8a7410c7-3ec1-307e-87ec-abe3a41cb6c5
025264060,14579515-fba8-3b8c-9c00-c9cff82724ac
025264133,29874562-5ecd-3bf1-8b65-2d37e3a096e8
025264133,ab03503e-e2df-33d9-b7a4-ced34e79e7c9
025264214,5fa10d3b-bef5-3569-8476-64eae9d148d8
025264214,06b39cad-d499-3c65-abba-d9b3ef67ad16
025264303,f24d722f-7f12-3c22-b075-888027c7a815
025264303,66f81b15-6056-33ed-b03e-9ea59760becd
025264346,58d88bfc-379a-3086-a868-1f1a3d672a08
025264435,2523ba2b-eaa4-307a-9520-dd71806864c4
025264435,c075cd16-4d6b-3419-9774-e6ab7b384427
02526446X,10ee7a46-1467-354f-8fb1-9cfa81c94dc2
025264567,9232a87a-b8bf-3480-82a2-864a9b2b257d
025264567,9116d78c-d8fe-3f60-a0ce-4cc21708184f
025264583,99dea05b-79fa-3b96-b862-d766044dc95a
025264583,5094f007-b5b1-3178-a8b5-a6c154b5e197
025264613,a1646011-1ad3-3aa6-a3a9-7293011e237d
025264613,23d67b98-ba03-37da-8ead-b23d1ab2deef
025264702,efd21294-0ff9-347a-b67f-93f8f82b30f1
025264702,d5812763-3c86-332a-a5aa-df1e51b533b0
025264710,18fbc867-291f-357c-8641-9f42cb28c920
025264761,34a76922-3278-367d-87a5-0d3ea8e73165
025264842,5f446dea-a744-3c83-a014-38a5ed86c064
025264842,dd42225b-0800-3cab-9557-28af68361342
