resId:ID(r),sysno
025268767,'OCoLC/886085874;IDSLU/000351575'
025268775,'OCoLC/886086048;IDSLU/000351572'
025268805,'OCoLC/251776284;IDSLU/000351578'
025268813,'OCoLC/886086286;IDSLU/000351579'
025268821,'OCoLC/886086304;IDSLU/000351580'
025268864,'OCoLC/886086638;IDSLU/000351584'
025268902,'OCoLC/611476310;IDSLU/000351590'
025268929,'OCoLC/74981886;IDSLU/000351592'
025268937,'OCoLC/256976207;IDSLU/000351593'
025269003,'OCoLC/611476885;IDSLU/000351601'
025269054,'OCoLC/882548200;IDSLU/000351606'
025269062,'OCoLC/611476940;IDSLU/000351607'
025269127,'OCoLC/611476995;IDSLU/000351614'
025269135,'OCoLC/611477007;IDSLU/000351615'
025269151,'OCoLC/611477020;IDSLU/000351617'
02526916X,'OCoLC/611477032;IDSLU/000351618'
025269208,'OCoLC/611477069;IDSLU/000351623'
025269216,'OCoLC/886088989;IDSLU/000351624'
025269224,'OCoLC/886089199;IDSLU/000351625'
025269232,'OCoLC/611477105;IDSLU/000351627'
025269283,'OCoLC/74477754;IDSLU/000351631'
025269305,'OCoLC/74463528;IDSLU/000351633'
025269321,'OCoLC/611477174;IDSLU/000351635'
02526933X,'OCoLC/74157787;IDSLU/000351637'
025269348,'OCoLC/313589254;IDSLU/000351636'
025269356,'OCoLC/75205479;IDSLU/000351638'
025269364,'OCoLC/611477211;IDSLU/000351639'
025269380,'OCoLC/611477228;IDSLU/000351641'
025269399,'OCoLC/611477234;IDSLU/000351642'
025269402,'OCoLC/611477242;IDSLU/000351643'
025269429,'OCoLC/611477253;IDSLU/000351645'
025269453,'OCoLC/74867280;IDSLU/000351648'
02526950X,'OCoLC/74887144;IDSLU/000351653'
025269526,'OCoLC/611477338;IDSLU/000351656'
025269615,'OCoLC/75135514;IDSLU/000351666'
025269623,'OCoLC/886090824;IDSLU/000351667'
025269631,'OCoLC/886090830;IDSLU/000351668'
025269658,'OCoLC/886091070;IDSLU/000351665'
025269666,'OCoLC/611477444;IDSLU/000351670'
025269739,'OCoLC/251932555;IDSLU/000351678'
025269747,'OCoLC/251932834;IDSLU/000351679'
025269879,'OCoLC/886091110;IDSLU/000351690'
025269887,'OCoLC/611477640;IDSLU/000351693'
025269895,'OCoLC/611477651;IDSLU/000351694'
025269917,'OCoLC/74973138;IDSLU/000351697'
025269925,'OCoLC/74866090;IDSLU/000351698'
02526995X,'OCoLC/75345076;IDSLU/000351700'
025269968,'OCoLC/611477700;IDSLU/000351701'
025269976,'OCoLC/611477716;IDSLU/000351703'
025269984,'OCoLC/611477726;IDSLU/000351704'
025270028,'OCoLC/611477754;IDSLU/000351707'
025270052,'OCoLC/886092270;IDSLU/000351708'
025270095,'OCoLC/78426000;IDSLU/000351714'
025270125,'OCoLC/886092430;IDSLU/000351718'
025270192,'OCoLC/611477910;IDSLU/000351725'
025270206,'OCoLC/611477918;IDSLU/000351726'
025270257,'OCoLC/611477973;IDSLU/000351731'
025270303,'OCoLC/75083570;IDSLU/000351733'
025270311,'OCoLC/890690701;IDSLU/000351739'
025270346,'OCoLC/886093187;IDSLU/000351742'
025270443,'OCoLC/257378484;IDSLU/000351754'
025270494,'OCoLC/611478219;IDSLU/000351760'
025270524,'OCoLC/611478242;IDSLU/000351762'
025270540,'OCoLC/886093967;IDSLU/000351766'
025270559,'OCoLC/886093867;IDSLU/000351767'
025270567,'OCoLC/886094046;IDSLU/000351768'
025270575,'OCoLC/611478315;IDSLU/000351769'
025270583,'OCoLC/886094312;IDSLU/000351770'
025270591,'OCoLC/74219803;IDSLU/000351772'
025270656,'OCoLC/886095029;IDSLU/000351778'
025270664,'OCoLC/886095137;IDSLU/000351779'
025270761,'OCoLC/74773344;IDSLU/000351788'
025270842,'OCoLC/74973137;IDSLU/000351796'
025270850,'OCoLC/886095784;IDSLU/000351797'
02527094X,'OCoLC/611478603;IDSLU/000351806'
025270966,'OCoLC/74430749;IDSLU/000351808'
025270990,'OCoLC/611478637;IDSLU/000351812'
025271016,'OCoLC/886097108;IDSLU/000351813'
025271040,'OCoLC/886097142;IDSLU/000351816'
025271105,'OCoLC/886097655;IDSLU/000351822'
025271156,'OCoLC/74788469;IDSLU/000351828'
025271180,'OCoLC/251837577;IDSLU/000351830'
025271350,'OCoLC/74342800;IDSLU/000351847'
025271369,'OCoLC/174473845;IDSLU/000351849'
025271377,'OCoLC/74307971;IDSLU/000351850'
025271393,'OCoLC/611478968;IDSLU/000351852'
025271407,'OCoLC/756278406;IDSLU/000351853'
025271415,'OCoLC/74166103;IDSLU/000351854'
025271539,'OCoLC/611479098;IDSLU/000351866'
025271555,'OCoLC/611479124;IDSLU/000351869'
025271598,'OCoLC/886099369;IDSLU/000351873'
025271644,'OCoLC/246561348;IDSLU/000351879'
025271652,'OCoLC/611479231;IDSLU/000351880'
025271679,'OCoLC/611479239;IDSLU/000351881'
025271695,'OCoLC/611479264;IDSLU/000351883'
025271725,'OCoLC/611479294;IDSLU/000351886'
025271792,'OCoLC/611479395;IDSLU/000351893'
025271822,'OCoLC/74901390;IDSLU/000351896'
025271849,'OCoLC/75121250;IDSLU/000351898'
025271873,'OCoLC/75231669;IDSLU/000351901'
025271881,'OCoLC/886099831;IDSLU/000351903'
025271970,'OCoLC/886099946;IDSLU/000351911'
025271997,'OCoLC/886100043;IDSLU/000351913'
025272012,'OCoLC/886100048;IDSLU/000351915'
025272039,'OCoLC/883821123;IDSLU/000351917'
025272047,'OCoLC/75232821;IDSLU/000351918'
025272071,'OCoLC/611479659;IDSLU/000351921'
025272101,'OCoLC/611479687;IDSLU/000351924'
